State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Unemployment
Indiana,Porter County,167391,82696,84695,9.6,84.0,3.3,0.2,1.4,0.1,65979,31879,11.0,5.7
Indiana,Posey County,25599,12776,12823,1.1,96.2,1.5,0.0,0.4,0.0,60992,30763,9.5,3.4
Indiana,Pulaski County,12761,6458,6303,2.9,94.6,0.4,0.1,0.6,0.0,47633,24445,13.2,6.9
Indiana,Putnam County,37543,19747,17796,2.5,91.9,3.1,0.2,1.0,0.0,55295,23842,11.6,5.1
Indiana,Randolph County,25203,12278,12925,3.3,93.9,0.7,0.0,0.2,0.0,44985,23427,17.0,5.6
Indiana,Ripley County,28372,14065,14307,1.8,95.6,0.5,0.5,1.0,0.0,53698,25385,10.5,5.7
Indiana,Rush County,16765,8223,8542,1.5,96.1,1.4,0.0,0.1,0.0,47955,23749,18.3,4.7
Indiana,St. Joseph County,268613,130472,138141,8.3,73.6,12.8,0.3,2.1,0.1,48121,25893,17.1,6.4
Indiana,Scott County,23722,11628,12094,2.1,95.8,0.3,0.2,0.4,0.0,49243,24186,13.7,5.6
Indiana,Shelby County,44339,21933,22406,4.0,92.6,1.0,0.1,0.7,0.0,57216,27317,10.6,4.9
Indiana,Spencer County,20610,10431,10179,2.9,95.1,0.6,0.2,0.2,0.1,55280,29114,9.7,5.7
Indiana,Starke County,22966,11295,11671,3.5,94.5,0.3,0.1,0.5,0.0,45526,22153,16.7,7.6
Indiana,Steuben County,34459,17441,17018,3.5,94.0,0.2,0.1,0.5,0.0,52749,26902,10.1,4.9
Indiana,Sullivan County,20900,11235,9665,1.7,92.1,3.7,0.2,0.8,0.0,45031,22239,15.6,5.9
Indiana,Switzerland County,10617,5497,5120,1.4,95.7,0.8,0.0,0.5,0.0,43468,21511,19.7,6.6
Indiana,Tippecanoe County,186081,94992,91089,8.1,77.0,4.7,0.1,8.0,0.0,50486,25481,20.9,5.2
Indiana,Tipton County,15290,7632,7658,2.6,95.3,0.2,0.0,0.0,0.4,53931,28507,9.4,3.8
Indiana,Union County,7225,3658,3567,0.0,95.8,0.1,0.0,0.5,0.0,45531,22527,8.2,3.9
Indiana,Vanderburgh County,181831,87869,93962,2.5,84.1,9.1,0.2,1.2,0.1,44815,26917,18.0,5.2
Indiana,Vermillion County,15644,7716,7928,1.1,96.8,0.4,0.3,0.2,0.0,45440,23891,13.4,5.1
Indiana,Vigo County,107723,54651,53072,2.6,85.8,6.2,0.2,1.9,0.0,42030,22932,19.9,7.9
Indiana,Wabash County,31848,15568,16280,2.5,94.5,0.9,0.7,0.2,0.0,49052,24700,13.3,5.5
Indiana,Warren County,8269,4124,4145,1.5,96.5,0.5,0.2,0.0,0.0,58950,29312,9.5,4.7
Indiana,Warrick County,61581,30490,31091,1.8,92.8,1.6,0.2,2.5,0.0,66080,33528,7.7,3.4
Indiana,Washington County,27807,13783,14024,1.3,96.9,0.1,0.3,0.2,0.0,46861,23223,13.3,7.0
Indiana,Wayne County,66972,32387,34585,2.8,88.5,5.0,0.2,1.0,0.0,41813,23895,18.2,6.5
Indiana,Wells County,27832,13689,14143,2.8,95.0,0.7,0.2,0.5,0.0,53038,25850,11.0,3.0
Indiana,White County,24279,12185,12094,7.9,89.8,0.4,0.2,0.2,0.0,51404,26275,9.8,4.4
Indiana,Whitley County,33481,16716,16765,1.9,95.7,0.4,0.2,0.4,0.0,57041,28073,9.5,3.6
Iowa,Adair County,7192,3552,3640,1.7,96.6,0.3,0.0,0.4,0.0,49477,28861,9.5,3.0
Iowa,Adams County,3785,1870,1915,1.2,96.8,0.4,0.1,0.6,0.0,49745,27022,11.2,4.2
Iowa,Allamakee County,13940,7098,6842,6.1,91.2,0.9,0.1,0.3,0.0,47895,27377,11.4,3.3
Iowa,Appanoose County,12547,6206,6341,1.8,95.7,0.6,0.1,0.5,0.0,40377,25543,17.1,6.3
Iowa,Audubon County,5711,2814,2897,0.4,97.1,0.4,0.0,0.5,0.0,48750,31523,11.1,2.7
Iowa,Benton County,25646,12786,12860,1.4,96.6,0.7,0.1,0.3,0.0,64061,32356,8.7,3.6
Iowa,Black Hawk County,132960,65251,67709,4.2,82.2,8.8,0.2,2.1,0.2,50916,27669,15.9,5.3
Iowa,Boone County,26381,13280,13101,2.5,94.6,0.4,0.1,0.4,0.7,57906,30190,9.4,4.4
Iowa,Bremer County,24741,12195,12546,1.4,95.3,0.9,0.2,1.1,0.0,65440,32105,7.7,3.6
Iowa,Buchanan County,21101,10497,10604,1.5,96.4,0.3,0.3,0.6,0.0,59348,30974,7.8,3.2
Iowa,Buena Vista County,20369,10254,10115,25.0,61.4,2.6,0.0,8.9,1.3,52784,26345,13.7,4.9
Iowa,Butler County,14822,7402,7420,1.3,96.8,0.2,0.3,0.4,0.1,53937,28584,9.4,3.2
Iowa,Calhoun County,9814,5080,4734,1.8,94.8,1.8,0.3,0.3,0.0,46302,27370,15.3,2.3
Iowa,Carroll County,20428,10052,10376,2.4,95.3,1.5,0.1,0.2,0.0,54563,29191,10.3,2.5
Iowa,Cass County,13327,6586,6741,2.4,95.8,0.3,0.1,0.5,0.2,45637,26427,15.1,2.5
Iowa,Cedar County,18368,9148,9220,1.9,95.8,0.7,0.2,0.3,0.0,62555,30362,5.4,3.0
Iowa,Cerro Gordo County,43134,21011,22123,4.6,91.2,1.7,0.3,1.1,0.0,50569,31292,11.3,4.1
Iowa,Cherokee County,11577,5804,5773,3.4,94.0,1.0,0.4,0.4,0.0,53998,30973,11.9,3.3
Iowa,Chickasaw County,12140,6053,6087,2.2,96.3,0.4,0.3,0.4,0.0,50688,27973,8.9,2.5
Iowa,Clarke County,9267,4600,4667,12.7,84.6,0.1,0.0,1.0,0.0,49718,25879,15.4,4.4
Iowa,Clay County,16387,8091,8296,3.3,94.0,0.2,0.0,0.5,0.0,48978,28514,11.8,3.4
Iowa,Clayton County,17711,8916,8795,1.9,96.2,1.0,0.1,0.4,0.0,51114,27719,10.4,3.0
Iowa,Clinton County,47587,23289,24298,3.0,91.5,2.6,0.4,0.7,0.0,50295,28091,13.1,4.2
Iowa,Crawford County,17131,8878,8253,27.4,67.5,1.2,0.6,1.9,0.1,51091,27270,18.5,6.2
Iowa,Dallas County,80864,39934,40930,6.1,86.2,1.3,0.1,4.2,0.1,82719,42417,5.4,2.4
Iowa,Davis County,8834,4360,4474,1.3,97.0,0.1,0.0,0.3,0.0,52390,25747,13.7,3.5
Iowa,Decatur County,8105,4074,4031,2.7,93.2,1.7,0.3,0.6,0.2,41042,21110,19.1,5.0
Iowa,Delaware County,17326,8659,8667,1.4,97.0,0.3,0.1,0.3,0.0,60534,30768,9.2,2.5
Iowa,Des Moines County,39876,19534,20342,2.9,88.0,6.0,0.2,0.6,0.0,47524,27168,15.3,5.6
Iowa,Dickinson County,17000,8547,8453,1.9,96.1,0.5,0.3,0.4,0.0,59889,36588,8.1,3.0
Iowa,Dubuque County,96571,47757,48814,2.3,91.4,2.8,0.0,1.3,0.4,59150,30117,11.9,3.9
Iowa,Emmet County,9661,4792,4869,9.3,88.0,1.6,0.4,0.2,0.0,47419,29396,13.8,3.9
Iowa,Fayette County,20139,10162,9977,2.3,94.1,1.2,0.0,0.9,0.0,48412,27020,12.8,3.5
Iowa,Floyd County,15904,7830,8074,2.5,92.8,1.9,0.4,1.5,0.1,48607,28323,15.6,2.7
Iowa,Franklin County,10326,5235,5091,12.1,85.9,1.4,0.0,0.1,0.0,48172,25248,15.6,4.6
Iowa,Fremont County,6985,3453,3532,2.5,95.3,0.5,0.5,0.0,0.0,54430,29813,11.0,3.1
Iowa,Greene County,9046,4409,4637,2.7,95.1,0.1,0.1,1.3,0.0,52529,27968,10.0,6.2
Iowa,Grundy County,12354,6117,6237,1.2,97.1,0.7,0.0,0.3,0.0,65170,35662,5.8,2.9
Iowa,Guthrie County,10664,5321,5343,2.4,95.6,0.3,0.3,0.3,0.0,56306,30646,10.1,3.5
Iowa,Hamilton County,15201,7433,7768,6.0,89.6,1.1,0.0,3.0,0.0,55836,27963,9.4,2.3
Iowa,Hancock County,10971,5519,5452,3.9,93.8,0.6,0.3,0.1,0.0,57840,29147,9.1,1.7
Iowa,Hardin County,17239,8634,8605,4.2,92.3,1.4,0.3,0.6,0.0,52207,28445,8.0,2.5
Iowa,Harrison County,14196,7016,7180,1.6,96.5,0.2,0.3,0.3,0.1,57558,29332,10.4,1.7
Iowa,Henry County,19865,10099,9766,4.7,88.6,2.1,0.4,2.5,0.0,52275,26340,12.2,5.5
Iowa,Howard County,9321,4677,4644,1.5,96.7,0.7,0.0,0.2,0.0,51422,27906,11.6,2.9
Iowa,Humboldt County,9586,4665,4921,4.0,94.0,0.2,0.3,0.3,0.0,48847,29587,13.0,3.3
Iowa,Ida County,6965,3478,3487,2.1,96.0,0.0,0.7,0.4,0.0,51978,30192,10.3,3.2
