full_name,diameter,rot_per
   383 Janina (1894 AU),43.482,6.4
   384 Burdigala (1894 AV),34.435,21.1
   385 Ilmatar (1894 AX),85.837,62.35
   386 Siegena (1894 AY),165.01,9.763
   387 Aquitania (1894 AZ),100.51,24.144
   388 Charybdis (1894 BA),125.754,9.516
   389 Industria (1894 BB),74.378,8.53
   390 Alma (1894 BC),25.688,3.74
   391 Ingeborg (1894 BE),15.751,26.391
   392 Wilhelmina (1894 BF),60.750,13.058
   393 Lampetia (1894 BG),96.89,38.455
   394 Arduina (1894 BH),29.970,16.53
   395 Delia (1894 BK),44.189,19.71
   396 Aeolia (1894 BL),39.242,14.353
   397 Vienna (1894 BM),49.032,15.48
   398 Admete (1894 BN),49.771,20.998
   399 Persephone (1895 BP),39.566,9.136
   400 Ducrosa (1895 BU),36.001,6.87
   401 Ottilia (1895 BT),87.803,6.049
   402 Chloe (1895 BW),55.421,10.664
   403 Cyane (1895 BX),53.574,12.283
   404 Arsinoe (1895 BY),94.970,8.887
   405 Thia (1895 BZ),108.894,10.08
   406 Erna (1895 CB),46.266,8.789
   407 Arachne (1895 CC),95.07,22.627
   408 Fama (1895 CD),35.620,202.1
   409 Aspasia (1895 CE),171.012,9.022
   410 Chloris (1896 CH),116.245,32.50
   411 Xanthe (1896 CJ),76.53,11.344
   412 Elisabetha (1896 CK),96.056,19.635
   413 Edburga (1896 CL),34.242,15.773
   414 Liriope (1896 CN),88.760,7.353
   415 Palatia (1896 CO),83.560,20.73
   416 Vaticana (1896 CS),85.47,5.372
   417 Suevia (1896 CT),54.874,7.034
   418 Alemannia (1896 CV),40.330,4.671
   419 Aurelia (1896 CW),148.701,16.784
   420 Bertholda (1896 CY),138.699,11.04
   421 Zahringia (1896 CZ),14.119,6.42
   422 Berolina (1896 DA),10.714,25.978
   423 Diotima (1896 DB),175.859,4.775
   424 Gratia (1896 DF),102.565,19.47
   425 Cornelia (1896 DC),67.925,17.505
   426 Hippo (1897 DH),137.562,34.3
   427 Galene (1897 DJ),32.193,3.705
   428 Monachia (1897 DK),20.184,3.63384
   429 Lotis (1897 DL),69.62,13.577
   430 Hybris (1897 DM),31.702,7.205
   431 Nephele (1897 DN),101.900,13.530
   432 Pythia (1897 DO),46.90,8.252
   433 Eros (1898 DQ),16.84,5.270
   434 Hungaria (1898 DR),8.934,26.521
   435 Ella (1898 DS),34.792,4.623
   436 Patricia (1898 DT),58.609,16.133
   437 Rhodia (1898 DP),13.373,433.2
   438 Zeuxo (1898 DU),58.871,8.831
   439 Ohio (1898 EB),70.421,37.46
   440 Theodora (1898 EC),13.600,4.828
   441 Bathilde (1898 ED),65.131,10.446
   442 Eichsfeldia (1899 EE),62.171,11.871
   443 Photographica (1899 EF),25.504,19.795
   444 Gyptis (1899 EL),159.331,6.214
   445 Edna (1899 EX),87.812,19.97
   446 Aeternitas (1899 ER),53.562,15.7413
   447 Valentine (1899 ES),85.224,9.651
   448 Natalie (1899 ET),50.534,8.0646
   449 Hamburga (1899 EU),85.59,18.263
   450 Brigitta (1899 EV),37.038,10.7657
   451 Patientia (1899 EY),253.900,9.727
   452 Hamiltonia (1899 FD),11.563,2.8813
   453 Tea (1900 FA),23.985,6.812
   454 Mathesis (1900 FC),81.743,8.378
   455 Bruchsalia (1900 FG),88.792,11.85
   456 Abnoba (1900 FH),37.713,18.281
   457 Alleghenia (1900 FJ),18.739,21.953
   458 Hercynia (1900 FK),36.698,21.806
   459 Signe (1900 FM),25.784,5.5362
   460 Scania (1900 FN),19.689,164.1
   461 Saskia (1900 FP),43.603,7.348
   462 Eriphyla (1900 FQ),34.274,8.659
   463 Lola (1900 FS),20.908,6.206
   464 Megaira (1901 FV),77.056,12.726
   465 Alekto (1901 FW),73.34,10.936
   466 Tisiphone (1901 FX),95.495,8.834
   467 Laura (1901 FY),39.471,70.63
   468 Lina (1901 FZ),60.238,16.33
   469 Argentina (1901 GE),133.718,17.5727
   470 Kilia (1901 GJ),27.750,290.
   471 Papagena (1901 GN),148.128,7.113
   472 Roma (1901 GP),50.278,9.8007
   473 Nolli (1901 GC),12.394,3.0785
   474 Prudentia (1901 GD),39.356,8.572
   475 Ocllo (1901 HN),24.741,7.3151
   476 Hedwig (1901 GQ),138.493,27.33
   477 Italia (1901 GR),22.988,19.413
   478 Tergeste (1901 GU),80.738,16.101
   479 Caprera (1901 HJ),60.088,9.43
   480 Hansa (1901 GL),56.22,16.19
   481 Emita (1902 HP),121.552,14.412
   482 Petrina (1902 HT),45.751,11.7922
   483 Seppina (1902 HU),66.858,12.727
   484 Pittsburghia (1902 HX),30.060,10.63
   485 Genua (1902 HZ),63.88,17.59
