DateOfBite,Breed,Age,Gender,SpayNeuter,Borough
November 06 2015,Poodle; Standard,5,M,FALSE,Brooklyn
November 11 2015,AMERICAN BULLDOG/GREAT PYRENEES,3,F,TRUE,Brooklyn
November 12 2015,HARRIER/GERM SHEP,3,M,TRUE,Brooklyn
November 16 2015,MASTIFF/AM PIT BULL TERR,1,M,TRUE,Brooklyn
November 18 2015,Pit Bull,7,F,TRUE,Brooklyn
November 18 2015,Pit Bull,1,M,TRUE,Brooklyn
November 12 2015,Pit Bull,3,F,FALSE,Brooklyn
November 18 2015,Labrador Retriever Crossbreed,1,F,TRUE,Brooklyn
November 18 2015,PIT-BULL LAB X,10,F,FALSE,Brooklyn
November 22 2015,Pit Bull,1,M,FALSE,Brooklyn
November 21 2015,American Pit Bull Terrier/Pit Bull,2,M,TRUE,Brooklyn
November 23 2015,American Pit Bull Mix / Pit Bull Mix,1,M,FALSE,Brooklyn
November 21 2015,BOXER X,1,F,TRUE,Brooklyn
November 20 2015,Pit Bull,6,M,FALSE,Brooklyn
November 23 2015,Shih Tzu,2,M,TRUE,Brooklyn
November 20 2015,POODLE X,1,F,FALSE,Brooklyn
November 25 2015,Pit Bull,4,M,FALSE,Brooklyn
November 27 2015,Chihuahua Crossbreed,8,M,TRUE,Brooklyn
November 28 2015,Shih Tzu,2,M,TRUE,Brooklyn
November 29 2015,Yorkshire Terrier,4,M,TRUE,Brooklyn
November 27 2015,Shih Tzu,1,M,FALSE,Brooklyn
November 30 2015,MIXED,3,M,TRUE,Brooklyn
November 28 2015,Pit Bull,1,F,FALSE,Brooklyn
December 01 2015,Beagle Crossbreed,2,M,TRUE,Brooklyn
December 03 2015,Bull Dog; French,3,M,TRUE,Brooklyn
December 06 2015,Pit Bull,4,M,TRUE,Brooklyn
December 07 2015,BEAGLE/JACK RUSSELL X,4,M,TRUE,Brooklyn
December 06 2015,Chow Chow,8,M,FALSE,Brooklyn
December 03 2015,TERRIER,1,M,TRUE,Brooklyn
December 06 2015,Bichon Frise,12,M,TRUE,Brooklyn
December 05 2015,SUDANESE HOUND X,1,M,TRUE,Brooklyn
December 04 2015,TERRIER X,6,M,TRUE,Brooklyn
November 29 2015,Maltese,2,F,TRUE,Brooklyn
December 09 2015,Yorkshire Terrier Crossbreed,3,M,FALSE,Brooklyn
December 09 2015,TERRIER X,11,M,TRUE,Brooklyn
December 01 2015,American Pit Bull Mix / Pit Bull Mix,1,M,FALSE,Brooklyn
December 14 2015,Yorkshire Terrier,5,M,TRUE,Brooklyn
December 08 2015,Shih Tzu,2,M,FALSE,Brooklyn
December 11 2015,Shih Tzu,2,F,FALSE,Brooklyn
December 12 2015,Pit Bull,2,F,TRUE,Brooklyn
December 12 2015,Pit Bull,1,M,TRUE,Brooklyn
December 14 2015,American Pit Bull Mix / Pit Bull Mix,1,M,TRUE,Brooklyn
December 19 2015,American Pit Bull Mix / Pit Bull Mix,4,M,TRUE,Brooklyn
December 19 2015,American Pit Bull Mix / Pit Bull Mix,6,F,TRUE,Brooklyn
December 21 2015,American Pit Bull Terrier/Pit Bull,2,F,TRUE,Brooklyn
December 20 2015,Beagle,14,F,FALSE,Brooklyn
December 13 2015,Poodle; Toy,2,M,FALSE,Brooklyn
December 24 2015,Miniature Pinscher,11,M,FALSE,Brooklyn
December 26 2015,Chihuahua,2,M,FALSE,Brooklyn
December 27 2015,Bull dog,3,F,TRUE,Brooklyn
December 24 2015,Shih Tzu,6,M,TRUE,Brooklyn
December 25 2015,MIXED,4,M,TRUE,Brooklyn
December 30 2015,Pit Bull,2,M,FALSE,Brooklyn
January 02 2016,Yorkshire Terrier,10,M,TRUE,Brooklyn
December 31 2015,Brussels Griffon,8,M,TRUE,Brooklyn
December 22 2015,SHIH TZU/POODLE X,2,M,TRUE,Brooklyn
December 10 2015,AMER BULL TERRIER,1,M,FALSE,Brooklyn
November 11 2015,Pit Bull,4,F,TRUE,Brooklyn
January 06 2016,German Shepherd,2,M,FALSE,Brooklyn
January 09 2016,PEKINGESE/CHIHUAHUA,1,F,FALSE,Brooklyn
January 10 2016,PUG/BEAGLE X,10,M,FALSE,Brooklyn
January 08 2016,German Shepherd,5,F,FALSE,Brooklyn
January 12 2016,Pit Bull,2,M,FALSE,Brooklyn
January 13 2016,TOY FOX TERRIER,1,M,FALSE,Brooklyn
